Ticker,Class,Sector,T,BIC_winner,LLF_winner,GARCH_LLF,GARCH_BIC,GARCH_beta,SEARCH_LLF,SEARCH_BIC,SEARCH_alpha,SEARCH_c,GMARCH_LLF,GMARCH_BIC,GMARCH_delta,GMARCH_lam,GMARCH_H,FIGARCH_LLF,FIGARCH_BIC,FIGARCH_d,FIGARCH_phi,FIGARCH_beta1,HYGARCH_LLF,HYGARCH_BIC,HYGARCH_d,HYGARCH_tau
FXF,Currency,CHF/USD,4971,GARCH,GARCH,87.773652,-141.929414,0.949759,84.892933,-127.763504,1.042996,0.050900,79.202970,-116.383579,0.049124,0.061877,0.524562,78.622042,-106.817251,0.029600,0.999109,0.954369,83.967541,-109.103776,0.046628,0.046703
GLD,Commodity,Precious Metals,5373,SEARCH,SEARCH,-2522.053974,5078.070523,0.920912,-2513.747950,5069.949119,0.420694,0.790695,-2517.452602,5077.358424,-0.499897,0.025793,0.250052,-2517.792174,5086.528210,0.000242,0.922388,0.922137,-2517.797141,5095.028790,0.000336,0.957615
SLV,Commodity,Precious Metals,5011,SEARCH,SEARCH,-4874.115805,9781.885158,0.930637,-4867.503185,9777.073306,0.492068,0.568582,-4868.061616,9778.190167,-0.436547,0.032312,0.281726,-4868.903865,9788.288051,0.020701,0.960140,0.942944,-4869.398529,9797.690767,0.183201,0.302992
USO,Commodity,Energy,5024,GARCH,FIGARCH,-5433.283616,10900.232302,0.882910,-5431.286069,10904.653475,0.691713,0.365087,-5431.035636,10904.152609,-0.302125,0.084180,0.348938,-5429.711708,10909.921020,0.037975,0.956784,0.901582,-5429.711751,10918.337372,0.037983,0.999652
UNG,Commodity,Energy,4768,GMARCH,GMARCH,-6520.349216,13074.130283,0.916831,-6516.997616,13075.785047,1.778016,0.006056,-6516.145491,13074.080798,0.549652,0.145275,0.774826,-6520.349203,13090.846183,0.000000,0.997546,0.916831,-6520.349214,13099.204169,0.000087,0.001796
DBA,Commodity,Agriculture,4838,GARCH,FIGARCH,-1318.373767,2670.244519,0.929609,-1318.130440,2678.132111,0.827915,0.142217,-1318.261397,2678.394024,-0.082078,0.065988,0.458961,-1317.258438,2684.762353,0.000198,0.928495,0.928111,-1317.258790,2693.137303,0.000228,0.999999
DBB,Commodity,Industrial Metals,4838,SEARCH,SEARCH,-3020.446569,6074.390123,0.940246,-3010.175862,6062.222956,0.286833,1.498265,-3012.351249,6066.573728,-0.499986,0.019351,0.250007,-3013.431371,6077.108218,0.000840,0.954383,0.954164,-3013.424957,6085.469637,0.000542,1.000000
DBC,Commodity,Broad Commodity,5068,SEARCH,SEARCH,-2671.696265,5377.096349,0.926903,-2660.500608,5363.130990,0.332918,1.254691,-2663.902011,5369.933796,-0.499971,0.026993,0.250015,-2662.420351,5375.396430,0.000457,0.930768,0.930561,-2662.422068,5383.825818,0.000545,0.999960
TLT,Fixed Income,Long Govt,5955,SEARCH,FIGARCH,-1704.597708,3443.609633,0.936999,-1695.622659,3434.263089,0.342527,1.174369,-1696.869888,3436.757548,-0.497966,0.026677,0.251017,-1695.025793,3441.672913,0.000432,0.941201,0.941016,-1695.028242,3450.281365,0.000807,1.000000
IEF,Fixed Income,Medium Govt,5955,GARCH,SEARCH,2437.965556,-4841.516894,0.938521,2440.350468,-4837.683164,0.594704,0.333527,2439.895784,-4836.773796,-0.279555,0.040799,0.360223,2439.968549,-4828.315772,0.000357,0.941059,0.940591,2439.968693,-4819.712505,0.000354,0.999609
SHY,Fixed Income,Short Govt,5955,FIGARCH,FIGARCH,11560.233956,-23086.053694,0.931959,11561.201728,-23079.385685,0.737723,0.175300,11561.302143,-23079.586514,-0.112808,0.056262,0.443596,11569.587700,-23087.554073,0.058207,0.999490,0.953769,11565.723283,-23071.221686,0.181115,0.266735
HYG,Fixed Income,High Yield,4773,SEARCH,SEARCH,1981.268986,-3929.101432,0.878107,2017.757164,-3993.718654,0.283486,2.320757,2000.675989,-3959.556304,-0.496847,0.069205,0.251576,2001.968130,-3953.781450,0.202340,0.998959,0.964342,2000.705908,-3942.897872,0.330943,0.518068
LQD,Fixed Income,Investment Grade,5955,SEARCH,HYGARCH,2368.668198,-4702.922179,0.887942,2393.344654,-4743.671536,0.252160,2.658801,2386.941194,-4730.864616,-0.499617,0.059545,0.250191,2396.482063,-4741.342800,0.122759,0.971000,0.941576,2396.569884,-4732.914888,0.272022,0.027669
BTC-USD,Crypto,Bitcoin,4214,FIGARCH,HYGARCH,-6149.998588,12332.872324,0.830166,-6147.386096,12335.866128,0.358480,1.647102,-6149.320874,12339.735685,-0.388909,0.109176,0.305546,-6135.037015,12319.386753,0.000364,0.794703,0.794108,-6135.035726,12327.602961,0.000329,0.876341
ETH-USD,Crypto,Ethereum,3065,FIGARCH,FIGARCH,-4842.908159,9717.208930,0.828799,-4833.595910,9706.432585,0.179860,4.047867,-4839.369943,9717.980651,-0.498684,0.047182,0.250658,-4829.470176,9706.029270,0.000277,0.749249,0.748999,-4829.476903,9713.890878,0.000403,0.921835
LTC-USD,Crypto,Litecoin,4214,GARCH,HYGARCH,-7556.379282,15145.633712,0.893624,-7556.015675,15153.125285,0.635113,0.419102,-7555.790374,15152.674685,-0.220348,0.087796,0.389826,-7554.919338,15159.151400,0.018945,0.929888,0.898709,-7554.720945,15166.973400,0.164518,0.001790
XRP-USD,Crypto,Ripple,3065,SEARCH,FIGARCH,-5178.179818,10387.752248,0.601985,-5163.914955,10367.070674,0.000014,117722.763547,-5175.315194,10389.871153,-0.499907,0.340243,0.250046,-5162.074529,10371.237977,0.334512,0.797817,0.722748,-5162.074566,10379.086203,0.333906,0.999990
^VIX,Volatility,Vol Index,6599,FIGARCH,FIGARCH,-14749.410908,29533.682712,0.693053,-14722.134676,29487.845473,0.000002,715519.218103,-14746.536972,29536.650063,-0.499177,0.185276,0.250412,-14714.377829,29481.047003,0.000372,0.561132,0.560735,-14714.393668,29489.793904,0.000883,0.763539
AAPL,US Stock,Mega-Cap Tech,6599,SEARCH,HYGARCH,-6954.427317,13943.715530,0.900433,-6933.620061,13910.816243,0.225261,2.682032,-6944.218916,13932.013953,-0.499649,0.040523,0.250176,-6930.426239,13913.143823,0.000891,0.885562,0.885115,-6930.405846,13921.818261,0.000606,0.999802
MSFT,US Stock,Mega-Cap Tech,6599,SEARCH,SEARCH,-5707.459289,11449.779473,0.931055,-5686.499045,11416.574209,0.293719,1.744870,-5690.012776,11423.601672,-0.499998,0.029916,0.250001,-5688.967382,11430.226108,0.133848,0.996881,0.976556,-5688.967418,11438.941404,0.133869,0.999985
GOOG,US Stock,Mega-Cap Tech,5437,SEARCH,FIGARCH,-5156.411051,10346.836913,0.954260,-5137.787764,10318.094041,0.219275,2.507885,-5140.519583,10323.557679,-0.499820,0.017075,0.250090,-5136.500472,10324.023160,0.131202,0.999999,0.984034,-5136.500475,10332.526868,0.131199,1.000000
AMZN,US Stock,Mega-Cap Tech,6599,HYGARCH,HYGARCH,-8226.917653,16488.696202,0.856055,-8125.748710,16295.073540,0.000009,93862.951693,-8218.131461,16479.839042,-0.498544,0.052544,0.250728,-8150.041536,16352.374416,0.078089,0.965377,0.964531,-8100.586490,16262.179549,0.275634,0.000220
NVDA,US Stock,Mega-Cap Tech,6599,SEARCH,SEARCH,-9794.366560,19623.594016,0.924526,-9737.880613,19519.337346,0.034742,27.050760,-9769.211054,19581.998228,-0.499765,0.030193,0.250117,-9738.202813,19528.696971,0.024966,0.997261,0.997261,-9738.200965,19537.408498,0.025233,0.357698
META,US Stock,Mega-Cap Tech,3485,SEARCH,FIGARCH,-3836.729939,7705.459934,0.977017,-3817.888557,7675.777184,0.173774,3.276312,-3819.911102,7679.822275,-0.494160,0.010446,0.252920,-3816.858082,7681.716249,0.108343,1.000000,0.987633,-3816.858093,7689.716284,0.108338,1.000000
JPM,US Stock,Large Value,6599,SEARCH,SEARCH,-5985.484759,12005.830413,0.907256,-5951.438533,11946.453187,0.278053,1.989106,-5964.044893,11971.665906,-0.497810,0.041108,0.251095,-5956.163516,11964.618376,0.025795,0.924687,0.912055,-5956.163516,11973.333601,0.025796,1.000000
JNJ,US Stock,Large Value,6599,FIGARCH,FIGARCH,-3006.051364,6046.963624,0.892949,-3004.327545,6052.231210,0.434698,0.966780,-3004.639721,6052.855563,-0.397313,0.065939,0.301344,-2995.140143,6042.571630,0.000386,0.879630,0.879188,-2995.141444,6051.289456,0.000646,0.867146
