family,lr_obs,p_boot,p_analytic,lam_hat,d_hat,n_boot_ok,lr_star_mean,lr_star_var,degenerate,reject_longmem_boot,Ticker,Class,lb_d_lw,lb_se_lw,lb_z_lw,lb_d_lw_shiftadj,lb_bw_drift,lensB_LM,kernel_summable,kernel_degenerate,verdict
tfarch,20.65784167288757,0.001,2.7455913588183327e-06,0.0210592775448828,0.4414934640507032,999,0.6838369614824582,1.8111912424390748,False,True,BWX,Fixed Income,0.3040103952984161,0.0320750149549792,9.478106112347197,0.2328632601552922,-0.6159443808037179,False,True,False,summable
tfarch,61.52872341973125,0.001,2.18165619962892e-15,0.0397486660092903,0.0484292188492078,999,0.5927506942121195,1.553240888459824,False,True,EMB,Fixed Income,0.5008445878274793,0.0321412173266612,15.582626592429246,0.493063166987059,0.0070032697452522,True,True,False,indeterminate
tfarch,1.5097608453343128,0.161,0.1095877914388705,0.0054247572670966,0.0871674024654251,999,0.7439354648942805,1.9820370634340063,False,False,GOVT,Fixed Income,0.3168869783401561,0.0350070021007002,9.052102703013734,0.2397897770260903,-0.7717637313107879,False,False,False,indeterminate
tfarch,59.81438544328557,0.001,5.211932877900465e-15,0.0199330463299949,0.1306903956584759,999,0.5176397040412852,1.3556252344444308,False,True,HYG,Fixed Income,0.5682986139911136,0.0318142381487888,17.863027595798258,0.5473938886188227,-0.0373251235863665,True,True,False,indeterminate
tfarch,45.29061563030973,0.001,8.493054851566624e-12,0.0364329447238814,0.7275038107566597,999,0.6566169199083087,1.8009904390618123,False,True,IEF,Fixed Income,0.3731193698285333,0.0296174438879546,12.597959879322351,0.3589128597580785,-0.970048858759452,False,True,False,summable
tfarch,26.029751410738758,0.001,1.6809818544380973e-07,0.0195719157941857,0.1614042343982243,999,0.7207616375082354,1.9362007190189383,False,True,LQD,Fixed Income,0.4626945615395144,0.0296174438879546,15.6223664435705,0.4553813058066315,0.3933481608923155,True,True,False,indeterminate
tfarch,150.97661180669093,0.001,5.302370911379527e-35,0.1309697680760258,0.6333649839870268,999,0.6460458569101749,1.840267306823644,False,True,MUB,Fixed Income,0.4176246993184007,0.0320092199832239,13.04701269000861,0.39688551585464,1.0198728783678792,False,True,False,summable
tfarch,86.1169085412912,0.001,8.480321688154984e-21,0.0343937343600352,0.548480914909617,999,0.626319580753575,2.4887503297721776,False,True,SHY,Fixed Income,0.3943829484325016,0.0296174438879546,13.315900923944918,0.3716368161336459,-1.2256453377300098,False,True,False,summable
tfarch,95.43137369137548,0.001,7.655394951591026e-23,0.0666625066635163,0.7580715394694542,999,0.5713498160653758,1.3588358274159174,False,True,TIP,Fixed Income,0.4258093573932495,0.0301511344577763,14.122498706957538,0.4036029196774632,-0.324685583063751,True,True,False,indeterminate
tfarch,18.82199346069956,0.001,7.175138850602851e-06,0.0182259006904881,0.4320727221845722,999,0.5498877384281262,1.4135311623596951,False,True,TLT,Fixed Income,0.370251868375176,0.0296174438879546,12.501141887053835,0.3494084507770668,-0.6203886843500304,False,True,False,summable
tfarch,49.891257689693816,0.001,8.125355424285618e-13,0.0687392778607303,0.6412080494394368,999,0.8456752304407527,2.96102631011223,False,True,VCLT,Fixed Income,0.376866976737939,0.0333333333333333,11.30600930213817,0.3516790547694011,0.5462776235117367,True,True,False,indeterminate
tfarch,217.49293935876997,0.001,1.5930206434402366e-49,0.1214986680597734,0.9037754759083112,999,0.6578167584103796,1.7010156803008656,False,True,VCSH,Fixed Income,0.3659487151337313,0.0333333333333333,10.97846145401194,0.3489467525850928,1.03317211093155,False,True,False,summable
tfarch,0.0,1.0,0.5,1.1662778087885196e-08,-0.0970196336763749,999,2.389436700865587e-06,1.0311497770426786e-11,True,False,ARGT,Intl Equity,0.2626025791228298,0.0342594354913765,7.665116933667204,0.2185330295426149,-0.233446679659757,True,False,True,indeterminate
tfarch,41.68844460512719,0.001,5.351987980947741e-11,0.041201189188828,0.529007495705265,999,0.586692791731457,1.4130318472194232,False,True,ECH,Intl Equity,0.4370537271636666,0.0321412173266612,13.597920785692487,0.4131692330625446,-0.0561384462777526,True,True,False,indeterminate
tfarch,1.7011573762147236,0.179,0.0960683435419764,0.0147269065856742,0.0591429484552982,999,0.8353467364077493,2.189652687818576,False,False,EDEN,Intl Equity,0.3033635188941935,0.0349215147884789,8.687009161305838,0.2682798346588777,-0.0199283143052393,True,False,False,long-memory
tfarch,41.87993360386099,0.001,4.8526775676111815e-11,0.0344916331629853,0.4116191179817169,999,0.5681260007639183,1.6748235034891317,False,True,EEM,Intl Equity,0.5753388318206275,0.0298807152333598,19.254520091885208,0.5613906744868198,0.270148328671713,True,True,False,indeterminate
tfarch,34.236641804786814,0.001,2.44006882155585e-09,0.2603107616318847,1.6353892514260344,999,0.8393854425536666,2.5771430010551946,False,True,EFNL,Intl Equity,0.3919107162214241,0.0349215147884789,11.222615015277658,0.3738790823735904,-0.0197311036525485,True,True,False,indeterminate
tfarch,0.0511345333079589,0.467,0.4105503655563844,0.0005960848586668,-0.0630838294482109,999,0.6939012585438972,2.0146745125622205,False,False,EIDO,Intl Equity,0.4181842383080645,0.0336336396998156,12.433511271465424,0.3969817985245008,0.2191361854396644,True,False,False,long-memory
tfarch,22.946129678142825,0.001,8.330265434414228e-07,0.0380498234982804,0.537061172692858,999,0.7846279249014423,1.9222183478553303,False,True,ENZL,Intl Equity,0.3793969785194918,0.0338642730739298,11.203458514854937,0.3593576708268627,0.1651227553476026,True,True,False,indeterminate
tfarch,19.14950827337725,0.001,6.043431861414586e-06,0.0402460390742901,0.3317936671197143,999,0.7488717392027313,2.034866871628959,False,True,EPHE,Intl Equity,0.3133380514167851,0.0339422116651065,9.231515450683045,0.2968342405862456,0.0972608505887469,True,True,False,indeterminate
tfarch,12.151779218615047,0.001,0.0002452052915165,0.0131723904106867,0.1200056602216571,999,0.5972735806254906,1.306065605740161,False,True,EPU,Intl Equity,0.3057665836321153,0.0330409300227544,9.254176060466254,0.2567677504300367,-0.3042365385476095,True,True,False,indeterminate
tfarch,0.4283364663097018,0.242,0.2564031748987175,0.7846797205986745,-18.814795991538382,999,0.4876606252093026,1.3095880641953217,False,False,ERUS,Intl Equity,0.0429335434121747,0.0340206908719885,1.2619832905135,-0.0064028080162271,-0.0406415954659733,False,False,False,indeterminate
tfarch,23.100737098418904,0.001,7.686587741962187e-07,0.0126211447543449,0.1332634858174765,999,0.54445161740834,1.2666370763743295,False,True,EWA,Intl Equity,0.4937760743071259,0.0286299167156934,17.246856818010368,0.4756777293037113,0.282509710992762,True,True,False,indeterminate
tfarch,38.67186497745388,0.001,2.5069218645813656e-10,0.0237252050943176,0.3442894272648282,999,0.5543440621832866,1.3031679773216425,False,True,EWC,Intl Equity,0.4851446065867355,0.0286299167156934,16.94537261160822,0.4542761951000512,0.0187240473167363,True,True,False,indeterminate
tfarch,48.12823078105066,0.001,1.996184162124461e-12,0.02946998200097,0.4423750079327582,999,0.6499573855436203,1.8069099196422471,False,True,EWD,Intl Equity,0.486908801723544,0.0286299167156934,17.006993298609434,0.4582832134244679,-0.4853414713680737,True,True,False,indeterminate
