dgp,innov,alpha,lr,wald2,scaled,mu4,rej_lr,rej_wald,rej_scaled
garch,gauss,1.071588693525817,0.06522071842118748,0.06420395359462447,0.06672490514703447,2.9549137845147215,0,0,0
garch,gauss,0.5934835445688664,4.520570908694026,10.179957062923885,4.591598060774025,2.9690621212310444,1,1,1
garch,gauss,0.8551457384705264,0.2774302136404003,0.21128194901507916,0.251622809424121,3.2051277010644914,0,0,0
garch,gauss,1.06463432335247,0.03995393627315025,0.032062008985784034,0.04055579522449001,2.9703194599929175,0,0,0
garch,gauss,0.8692830813768887,0.20131116568211382,0.2975711628500428,0.20903580332382016,2.926092683464947,0,0,0
garch,gauss,0.8058468987442567,0.3996220426281525,0.31267517354091073,0.3843967872508026,3.0792163508245767,0,0,0
garch,gauss,0.7353628592559848,1.3926918245444995,2.4151702455832313,1.4448702307667007,2.927774266351223,0,0,0
garch,gauss,0.9916603838936597,0.00040957108626571426,0.00031570805097696483,0.00040447056466900874,3.025220730714382,0,0,0
garch,gauss,0.664000084631996,2.95636643385933,6.486297696100048,2.8306782336904237,3.088804300448549,0,1,0
garch,gauss,1.3444336489753046,1.036160464252589,0.7013799119997128,0.9931925804539574,3.086524778062664,0,0,0
garch,gauss,0.8032662890365058,0.7496987669420605,1.0729930452645444,0.7754195086668836,2.9336598023718987,0,0,0
garch,gauss,2.249745294132954,2.9825827092552117,0.2750260048485685,2.8013499229780554,3.1293896094811973,0,0,0
garch,gauss,0.9727010200413284,0.010292434444636456,0.014379238629669224,0.010869428365733772,2.8938317818228034,0,0,0
garch,gauss,1.2801035015314732,0.7225570187561061,0.3979066089925391,0.734258168351849,2.968127968880461,0,0,0
garch,gauss,1.5877850900474886,2.0534230844599506,1.5444701154111753,2.1472358431441783,2.9126199769962313,0,0,0
garch,gauss,1.0490455514822783,0.038135311193627786,0.046549505700372834,0.035554323886344476,3.1451855653638012,0,0,0
garch,gauss,0.9751499769117296,0.008528589657544217,0.010594282056360897,0.008294034602625533,3.056559941248481,0,0,0
garch,gauss,0.9947117292363281,0.00017993762708101713,0.00015839628852747114,0.00018704944417894317,2.9239578911432376,0,0,0
garch,gauss,1.1143035430108355,0.09362229324642612,0.0585456891626531,0.09537344520912289,2.9632779971645764,0,0,0
garch,gauss,0.7945946081771571,0.7324967560843163,1.2563866774880967,0.7322528040109431,3.0006663056038487,0,0,0
garch,gauss,1.0112399872067992,0.0022220256716849462,0.0032426450919877006,0.0021972819288530116,3.0225221374708626,0,0,0
garch,gauss,1.6333210446012363,3.0352011943955404,1.532317861092569,3.118341510406234,2.946676580654655,0,0,0
garch,gauss,0.9895950553594152,0.0007742491146132124,0.0007643508176984748,0.0007648793457626083,3.0244999918026605,0,0,0
garch,gauss,1.0286170726304698,0.01067456028658853,0.014454119778047236,0.010499067543199202,3.033430157995889,0,0,0
garch,gauss,0.8925371215574358,0.16377444631189064,0.2049796124856204,0.16512100184375272,2.9836900755588163,0,0,0
garch,gauss,0.965148428386514,0.013778977595848119,0.014456634591852214,0.01461615835748316,2.8854444866894284,0,0,0
garch,gauss,0.9594907134130992,0.02819925392532241,0.03276583091486349,0.028398893187995378,2.9859403490585783,0,0,0
garch,gauss,0.879833359039171,0.275012660104494,0.31826746361233876,0.26605266495900665,3.0673550490228534,0,0,0
garch,gauss,0.7515077457673577,1.054845130805461,1.68193766905317,1.0402929327913462,3.0279771159745703,0,0,0
garch,gauss,1.4047273309551616,0.9158867758023916,0.5988952633410743,0.9429397660911353,2.942619897343201,0,0,0
garch,gauss,0.7651185724750527,1.134500271858542,1.9609538539527187,1.175003203871275,2.931059027108542,0,0,0
garch,gauss,1.0464751325151858,0.03747153399581293,0.06217699331929238,0.03666574482503086,3.0439532416225172,0,0,0
garch,gauss,0.9935943663946143,0.0006789742710680002,0.0009953694479166678,0.0007020372960378397,2.934296866847381,0,0,0
garch,gauss,1.0050134100647803,0.00018569493613540544,0.00012194831125324372,0.00019123910191181262,2.942018491814882,0,0,0
garch,gauss,0.6036513618387694,2.736754566983336,4.668794371099936,2.7072386862054287,3.0218051558795342,0,1,0
garch,gauss,1.117050835144967,0.10801502295407772,0.07358517888125603,0.09942579726713838,3.172776601707537,0,0,0
garch,gauss,1.1309939262078417,0.26111760818821494,0.9928320088348164,0.25257174415519856,3.0676707844862108,0,0,0
garch,gauss,0.8975475513836244,0.13921682425939252,0.19507323565591686,0.14105362948309047,2.97395593108197,0,0,0
garch,gauss,0.78831962137957,0.32474071777075153,0.31582006661669554,0.35610690313316057,2.823838375013583,0,0,0
garch,gauss,1.1310525324519833,0.23156225234890826,0.29693611775463435,0.22995329466836695,3.0139937780222867,0,0,0
garch,gauss,1.2270605330298037,0.6931207593447652,0.6653083989495621,0.7135921723910146,2.942624334071221,0,0,0
garch,gauss,0.5688968923507877,3.256714611600728,5.618863751583397,3.2676543511546527,2.9933042247567836,0,1,0
garch,gauss,0.8789041208462083,0.13580463014568522,0.12021107780731222,0.13573668806536376,3.001001086460703,0,0,0
garch,gauss,1.3263657438845002,0.45285102198909044,0.18359985223047817,0.4525936364468648,3.001137380296578,0,0,0
garch,gauss,1.6221086892936214,2.8427430139014405,1.9917564844180529,2.6169117998702998,3.172593676288466,0,0,0
garch,gauss,1.4446336884169875,1.1495623406335653,0.6005191882526573,1.137142147407428,3.021844574584548,0,0,0
garch,gauss,1.664739491485287,3.9037424047528475,3.090581735042139,3.678392349370943,3.1225263832556864,1,0,0
garch,gauss,1.6334247159713953,1.8071781066023505,1.2983013964806969,1.9496220491347267,2.85387532666078,0,0,0
garch,gauss,0.6911975364955912,1.612150701311748,2.6171045741917434,1.5658883741946845,3.0590876436398036,0,0,0
garch,gauss,1.3367886395000401,1.1811204518771774,0.998859888865263,1.202960884661543,2.963688872908764,0,0,0
garch,gauss,0.7741191828924465,0.798981934825747,1.2730452490792639,0.7972647801846722,3.004307614443164,0,0,0
garch,gauss,1.113277953250138,0.11041611579184973,0.12825929624063448,0.11991679744721412,2.8415454405452003,0,0,0
garch,gauss,1.323468303515376,0.7602947628963648,0.42355682559086144,0.7806696091060166,2.9478016155054787,0,0,0
garch,gauss,65.05931089865385,10.81654813985881,0.15222555684186995,10.923117277182307,2.9804874131405485,1,0,1
garch,gauss,0.675368067883567,1.7053015167150534,3.310468606507843,1.717669694125815,2.98559888731453,0,0,0
garch,gauss,1.250887801727462,0.4296001371528746,0.437041408277467,0.436883892610698,2.9666558754807935,0,0,0
garch,gauss,1.9250990522222096,3.2640877184792316,1.220570360473764,3.2944512333921545,2.9815668754752465,0,0,0
garch,gauss,0.863217071723504,0.28017327192037556,0.40283621486522686,0.28631285731497913,2.957112751050161,0,0,0
garch,gauss,1.2704369386203513,0.6510791717001894,0.46236253183820136,0.6498676545571904,3.003728504210059,0,0,0
garch,gauss,1.2933977543183612,0.5866230845854261,0.43056814232644214,0.6215247419500737,2.8876902076170246,0,0,0
garch,gauss,0.7977956286173806,0.4042249917024492,0.45718007293394275,0.42583855011729593,2.898489423238486,0,0,0
garch,gauss,1.6297063185728882,2.708998834240674,1.7229009355184481,2.7280851899630454,2.9860075075422188,0,0,0
garch,gauss,0.7417763769586679,0.9026693818698277,0.8862141209844939,0.8900361055893609,3.028388233243867,0,0,0
garch,gauss,0.6496574048116598,1.0045609999702378,1.834944594572909,1.0561794386848062,2.90225441468763,0,0,0
garch,gauss,1.1757867418923167,0.388056808576664,0.42480586291406924,0.38942353738807794,2.992980759095453,0,0,0
garch,gauss,0.7051645956675182,1.879416739331873,3.978325618876931,1.970866345891582,2.9071985710747534,0,1,0
garch,gauss,0.7448692668223287,1.3368428536257397,2.0720658748377088,1.358371561769648,2.968302180714294,0,0,0
garch,gauss,2.070484341002888,4.754547822893187,1.9095385935134739,4.651884583893482,3.0441383431373867,1,0,1
garch,gauss,1.3070988995645758,0.6755015118242227,0.41173523264705647,0.6142587211612989,3.1994038946557897,0,0,0
garch,gauss,0.9581174522559033,0.015026497387680138,0.009259989398421075,0.013739254210875575,3.1873818122945305,0,0,0
garch,gauss,0.9980368721510993,5.067094230071234e-05,3.369902723929359e-05,5.031623529832673e-05,3.014099107386812,0,0,0
garch,gauss,0.9795699852698354,0.005353252268378128,0.005859818395821485,0.005412785884506858,2.978002597036349,0,0,0
garch,gauss,0.7571787667408572,0.9027060752939633,1.2678783358927044,0.9135463203249846,2.9762677714531978,0,0,0
garch,gauss,0.9302576238420424,0.04500356679545803,0.03902020708935384,0.04466831137038073,3.01501088421711,0,0,0
garch,gauss,0.8418698436030774,0.4038162372288525,0.6350447660726759,0.41144786372118225,2.962903555151273,0,0,0
garch,gauss,0.9823838049662446,0.004856547549252355,0.008099818118632633,0.005159358716145872,2.8826167422916766,0,0,0
garch,gauss,0.8195182077088197,0.5664588502947936,0.9267427281495375,0.5345201144213713,3.1195043367376236,0,0,0
garch,gauss,0.6768153676697005,2.2568121443332814,3.4524395562429118,2.209451678273673,3.0428707869244853,0,0,0
garch,gauss,1.3885274286233484,1.1450326957365178,0.9135984829008054,1.1543788030213153,2.983807555612878,0,0,0
garch,gauss,1.0113160729244688,0.001614532224039067,0.0021493725417447533,0.001713147492098654,2.884872413479378,0,0,0
garch,gauss,1.5037779743580637,1.617567901036864,0.8077012586294614,1.4790004300410196,3.187379892772582,0,0,0
garch,gauss,0.9077653921036842,0.1253687178709697,0.12659180675826898,0.13312372108080348,2.883491790240349,0,0,0
garch,gauss,1.148157636261287,0.2022792953437147,0.21734443007633664,0.1996492308823108,3.0263468529258124,0,0,0
garch,gauss,1.1575080358363605,0.22620623811508267,0.1993731760609847,0.2345727553858856,2.928665907879715,0,0,0
garch,gauss,1.0704402516311444,0.08243632653284294,0.09159543981889047,0.08723769275502684,2.8899245023440345,0,0,0
garch,gauss,1.102500205941344,0.13328640807822012,0.1760772460477443,0.1444350546873825,2.845624088511024,0,0,0
garch,gauss,1.3397963760909115,1.1773428398300894,1.1050648390272981,1.1613443397203955,3.0275516908508733,0,0,0
garch,gauss,1.187001978191367,0.40388707545616853,0.44957394776514464,0.4028526219987765,3.0051356421723634,0,0,0
garch,gauss,0.9256447825983232,0.07800451463708669,0.08182382184388139,0.07901805032342298,2.9743467300904576,0,0,0
garch,gauss,0.871708286392298,0.3420616670446748,0.49532665779311874,0.3369094679494559,3.030585065635447,0,0,0
garch,gauss,1.2875643587978143,0.7286857595570382,0.46845622760460043,0.7537186869779801,2.933574879186528,0,0,0
garch,gauss,1.0925856865121437,0.0762491839956283,0.05462041842019729,0.07410763012365154,3.0577957726728946,0,0,0
garch,gauss,1.0270936253413971,0.008134990415328502,0.005252200237331856,0.007637428591595967,3.1302956401530326,0,0,0
garch,gauss,1.302450203307079,0.8638684744076954,0.627567826071689,0.875346365697993,2.9737752009031415,0,0,0
