Ticker,Class,Sector,K,T,GARCH_LLF,GARCH_BIC,GARCH_beta,LKV_LLF,LKV_BIC,LR_stat,LR_df,LR_pval,LR_reject05,BIC_favors_spline,Half_Life,Tenth_Life,Hundredth_Life,SE_alpha,SE_c,SE_R2,SE_n_lags,Slope_1_5d,Slope_5_21d,Slope_21_63d,Slope_63_252d,g_1,g_2,g_5,g_10,g_21,g_42,g_63,g_126,g_252
SO,US Stock,Low Vol,8,6599,-3185.451843,6405.764581,0.895561,-3161.862832,6419.593129,47.178021,7,0.000000,True,False,4,12,68,0.363419,1.303556,0.975368,99,-0.636949,-1.181270,-1.490233,-1.921476,1.000000,0.818133,0.347142,0.116134,0.060811,0.029246,0.012008,0.001451,0.000715
DUK,US Stock,Low Vol,8,6599,-3851.139849,7737.140593,0.927077,-3822.117593,7740.102650,58.044512,7,0.000000,True,False,4,18,119,0.132508,5.225802,0.958672,99,-0.790341,-1.040560,-1.122080,-3.721789,1.000000,0.873722,0.298376,0.254496,0.074047,0.027738,0.020539,0.008358,0.000194
PEP,US Stock,Low Vol,8,6599,-3133.748497,6302.357890,0.902022,-3094.163916,6284.195297,79.169161,7,0.000000,True,True,3,13,77,0.089928,10.000000,0.934076,99,-0.991207,-1.583169,-0.650763,-1.784760,1.000000,0.606391,0.216302,0.171808,0.028838,0.014498,0.011959,0.004800,0.001171
VNQ,US Stock,REITs,8,5409,-3416.507186,6867.006413,0.896254,-3398.486783,6890.451680,36.040806,7,0.000007,True,False,4,15,68,0.482148,0.738937,0.954686,99,-0.716710,-1.486842,-1.042878,-2.032279,1.000000,0.815739,0.329508,0.221246,0.049369,0.031641,0.013088,0.000573,0.000575
SPG,US Stock,REITs,8,6599,-5719.709515,11474.279926,0.903627,-5686.969504,11469.806472,65.480022,7,0.000000,True,True,4,12,66,0.278112,2.084628,0.993455,99,-0.565214,-1.162890,-1.717313,-1.864424,1.000000,0.570208,0.375082,0.112620,0.065185,0.023731,0.010745,0.002867,0.000799
ORCL,US Stock,Other,8,6599,-6773.044792,13580.950480,0.883853,-6590.702081,13277.271626,364.685423,7,0.000000,True,True,2,8,71,0.075444,10.000000,0.113871,73,-0.402056,-1.036170,0.841910,-11.435973,1.000000,0.377702,0.432273,0.054604,0.066336,0.026281,0.237414,0.000000,0.000000
TXN,US Stock,Other,8,6599,-6781.296257,13597.453409,0.958888,-6752.152337,13600.172138,58.287840,7,0.000000,True,False,10,48,252,0.405560,0.627207,0.978137,94,0.232618,-1.429816,-0.856355,-0.699145,1.000000,1.160134,1.337996,0.424951,0.182979,0.113587,0.069634,0.022036,0.022720
V,US Stock,Other,8,4536,-3357.492780,6748.193630,0.863359,-3332.365006,6756.052209,50.255546,7,0.000000,True,False,4,9,43,0.154169,5.594538,0.947431,99,-0.566590,-1.151264,-2.397100,-1.030931,1.000000,0.577430,0.358418,0.067514,0.052704,0.010341,0.004811,0.005182,0.001240
MA,US Stock,Other,8,4992,-4294.541709,8622.720068,0.866012,-4267.284281,8627.069348,54.514857,7,0.000000,True,False,5,13,46,0.136846,6.173917,0.935228,99,-0.476084,-1.466958,-1.890470,-1.249127,1.000000,0.944450,0.443043,0.127810,0.049475,0.011441,0.006868,0.007227,0.001424
BRK-B,US Stock,Other,8,6599,-3469.166291,6973.193477,0.851084,-3445.657100,6987.181664,47.018382,7,0.000000,True,False,4,14,54,0.354692,1.501031,0.997660,98,-0.867111,-1.082909,-1.866254,-3.465650,1.000000,1.036263,0.256978,0.135341,0.052833,0.016684,0.006874,0.000875,0.000065
DIS,US Stock,Other,8,6599,-5799.865904,11634.592705,0.914659,-5766.898680,11629.664825,65.934448,7,0.000000,True,True,5,22,200,0.255314,2.154466,0.935207,98,-0.459670,-0.963394,-2.030977,-0.412319,1.000000,1.019275,0.472156,0.225724,0.107612,0.023533,0.012980,0.014277,0.007281
NFLX,US Stock,Other,8,6001,-8968.993861,17972.435552,0.982850,-8692.281694,17479.294923,553.424333,7,0.000000,True,True,5,25,72,0.061149,10.000000,0.085641,73,-0.367444,-0.663115,0.985856,-11.729355,1.000000,0.513806,0.487043,0.116975,0.131453,0.045675,0.546229,0.000000,0.000000
